p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11
0.29058358,1.0324962,-1.4168687,-0.50718063,-0.79650146,-0.014444985,-0.085170195,0.6156957,2.5487266,0.83723205,1.4329456,-0.24763091
0.25103268,0.90986407,-1.6303992,-0.27113056,-0.86838055,-0.0054649394,-0.25042072,0.7177212,2.5761647,0.928959,1.5066483,-0.16978434
0.8105928,2.52329,-0.07073591,0.40490425,-0.4223961,-0.06689641,-1.6557989,0.7327413,0.5466685,-1.6888049,1.7150266,0.7969452
1.1217551,-0.9071092,0.12659657,0.35792315,-1.2584479,0.0835261,-0.1094717,-0.35264823,2.098207,-0.9298785,0.446542,0.77681327
0.5113623,-0.67674404,-0.44392428,0.71786475,-0.5802883,-0.038167622,-0.7404189,0.21410686,0.21853149,-1.0802402,1.4654493,0.7813705
1.1889663,-0.12489681,-0.62764174,-0.19098867,-0.2909152,-0.7440516,-0.6200795,-0.26712573,0.63040316,-0.34397808,1.7156371,0.65153426
2.363867,-0.58295786,0.26093483,0.6485652,-0.9638181,0.1395318,-0.10102765,-1.3987011,1.1592327,-1.1726549,1.6155947,0.5798344
1.8461838,-0.4591108,-0.7564357,-0.5115883,-0.19452848,-1.0389452,-0.5572093,-0.7374162,0.4873623,-1.031302,2.1379998,0.9814708
1.0004717,-0.8697954,0.5896043,0.7268204,-2.3488395,-0.052364103,-2.0544734,-1.2674838,0.95414,-1.5278298,0.123471804,1.0192183
0.71133983,0.6779479,-0.685577,1.2172122,-0.5098812,-0.46435115,-1.2956607,-0.1344965,-0.6591278,-0.1345287,1.8436749,0.30274868
1.8553634,0.5606921,0.11840004,-0.44598594,-1.2836778,-0.5022789,0.39263627,1.0094856,0.1871577,-0.634269,2.3522131,-0.44666848
1.9708613,0.53903633,0.39292625,-0.22010888,-1.0758927,-0.19245602,0.4003784,0.959029,0.14959241,-0.9454331,2.3182652,-0.47044206
