p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25
-0.097778134,-0.09791516,0.48323327,0.22499163,0.18045034,-0.2730637,-1.4424615,0.31549546,0.12943754,2.0246766,1.0248948,-0.1966852,-0.60480905,-0.095873065,-0.40915567,1.4534752,-0.5753181,-1.1116121,-0.5704526,-0.8740959,0.17401786,-0.9786715,-0.64982945,0.5822269,0.5297349,0.10383496
-0.25971574,0.69601667,0.22337873,-0.12927352,-0.12727618,-0.7895543,-0.120817035,0.10991835,-0.19214956,0.011150394,0.59748286,0.26786092,0.024852213,0.39117807,-0.75892454,0.73625284,-0.3811623,-0.10305831,0.70793426,-0.33434024,-1.1210594,-0.4531928,0.5328241,0.2870344,0.9960138,-0.3045961
-0.3306078,0.7050799,-0.14522573,-0.16613324,0.35171658,-0.64748937,0.03651772,-0.15385118,-0.25897342,-0.11251044,0.25946018,-0.018600596,-0.07566202,0.35727614,-0.64201915,0.7735849,-0.3870057,-0.1165138,1.0479366,-0.55460685,-1.1900326,-0.83409435,0.5702677,0.60797954,0.91085273,-0.21687874
-0.35628062,0.50453,0.9366326,-0.23134086,-0.43354014,0.70431,-1.3383045,0.6439609,-0.4506045,1.2579699,2.040008,-0.07871863,-1.4573613,0.9979439,-0.2520873,-0.24639866,-0.05182207,-0.08077908,1.7025356,-0.22526358,-1.279014,0.43361175,0.11309296,0.64553076,0.55057234,-0.093005165
-0.3046714,1.4562562,0.35474095,-0.5699684,-0.5473169,0.37484607,0.20865831,1.0184056,-0.1889138,0.92117316,1.4509823,-0.4486831,-1.0389974,-0.3154676,-0.25301373,0.56981075,-0.8258293,0.4691029,0.33326778,-1.1284952,-0.84620124,0.5036303,0.7583738,-0.5862384,0.39333895,-0.7346414
-0.46127686,0.15962206,0.8189302,-1.1301103,-0.3368903,0.24064438,-0.86591077,0.6481186,0.15289794,2.1714602,1.72196,-0.56047505,-1.0913712,1.1876105,0.26174185,0.08938321,-0.41726077,-0.8051429,0.9314965,-0.4011474,-1.1011194,-0.1212657,0.71196973,-0.7363105,0.45749685,0.07309708
0.607664,1.1194189,0.6071801,0.19133021,0.3820669,0.6116318,-0.17046766,0.2916541,-0.20282641,1.0794972,1.3778473,-0.6533455,-0.6622982,0.845456,-0.02798086,0.76899594,-0.16669314,0.36929518,0.11175299,0.029763192,-0.6583459,-0.16979693,0.03706508,0.71833014,0.13067573,0.37169936
-0.39379057,0.18099932,0.69511336,0.10541042,0.05571584,-0.8730215,0.18751274,0.9896456,-0.47962728,1.2838455,0.61417496,0.39395973,0.06548477,0.7752224,-0.71416295,0.662698,-0.15535595,-0.6069288,-0.3219782,0.034117226,-0.6401471,-0.6458842,0.13116774,0.81821525,0.5721549,0.66517115
-0.41558787,0.7841089,0.53900856,0.1615319,-0.042672094,-0.16803536,-0.2986105,-0.38154268,-0.8541244,0.14063923,0.71738714,-0.04253662,0.09446637,0.12953061,-0.7249281,1.3185112,0.09791974,-0.10963297,1.0218935,-0.336106,-1.5226867,-0.08659245,0.4500804,0.24561429,1.3732507,-0.7841113
0.377987,-0.23343825,0.020452902,0.09805089,0.26636195,-0.7334367,0.11143874,0.5315714,-0.10506375,0.9272306,-0.16858059,0.54085684,-0.6496166,-0.4829744,-0.92747194,0.11001859,-1.0322198,-0.6831488,1.040016,-0.6470755,-1.5145277,0.69406426,2.049834,-0.93140715,0.15584767,0.7510823
