p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
0.09709087,-0.06865566,0.8998741,-0.43149778,-0.27946082,1.070571,0.0905242,-0.58421737,-0.47558817,0.020033889,0.17226447,-0.038609304,0.17520358,-0.112862244,0.56527907,0.9962294,0.002541809,0.4443249
0.068147585,0.06334557,0.94331455,-0.30509886,-0.1471438,0.93194497,0.15195678,-0.7168187,-0.42690507,-0.1337167,0.12857431,-0.1337632,0.1912433,-0.07784885,0.49084967,0.94509345,0.10013026,0.3675895
0.15132484,0.054611363,0.9156899,-0.26489246,-0.2436826,1.0204791,0.032227166,-0.7853075,-0.41980433,-0.10165058,0.18562914,-0.11889256,0.18801399,-0.10728053,0.53750515,1.0280817,0.07507018,0.27768123
0.22869614,0.22309399,0.27457005,-1.6179338,-0.1520356,0.45869985,-0.6469705,-0.61275923,-1.4287316,0.032924503,0.25519168,0.40118992,0.1306232,0.90162367,0.83955985,1.4476041,0.93499714,-0.6191401
-1.041265,-1.02072,0.45106775,0.15384385,-0.41603014,0.49683648,-0.7348296,-1.4042761,0.55026746,-0.49490276,1.4492291,0.1747053,-0.5585918,-0.32854453,-0.20266674,0.97256505,1.362241,0.045258332
0.42306727,-0.13924481,-0.2567221,0.76626426,-0.321967,0.2731102,-0.3309802,-0.26249003,0.0064497064,0.1473875,0.5954424,0.6868936,-0.58173174,0.7996507,1.0500257,0.57234037,0.5419054,-0.6011603
0.21562679,-0.49390277,-0.043980103,-0.5094014,1.0025473,0.9143595,-0.061124757,-1.440693,-0.23069637,0.031732067,-0.25168443,0.3769849,0.14324883,0.018590493,0.20156778,0.5227767,1.8844321,-0.64108354
-0.6478388,-0.7481057,0.21759552,0.1729617,-0.5545182,0.35874316,-0.7924537,-1.0068835,0.08486749,-0.68921375,1.4034922,0.46831205,-0.9856818,-0.21637511,-0.32928956,0.868306,0.9480115,-0.1564821
-0.182777,0.22230023,0.47832564,0.12100046,-0.6463576,1.4867744,-0.52859575,-0.32117528,-0.97226787,-1.8046745,0.8754082,-0.6285015,1.3544701,-0.89517784,0.54636425,1.6972268,1.2828305,-1.2405014
-0.475,-0.5093781,1.0950048,0.6194344,-0.5560575,0.81852037,-0.19466367,-2.4521298,-1.2487658,-0.76510704,-0.8991938,-0.17148581,0.81853217,1.9692348,0.3591827,0.80578184,-0.36085886,1.0690147
0.55262697,0.42408425,1.4946811,-0.791713,0.34569055,0.6750953,0.110431254,-0.96063274,-0.54809517,-1.1787671,-0.5646922,1.1355376,-0.24717624,-0.7359754,0.91324896,0.3759072,0.3838507,-1.4969572
1.6051987,1.0246543,1.2324487,-0.932716,-0.9151103,0.814705,-0.040215466,-1.0667207,0.18316185,-0.17936295,2.1115437,-0.25076148,0.1035821,0.552137,0.44411248,0.5899916,2.107902,-0.63432366
1.3858434,-0.32379532,1.2086858,-0.024798693,-0.71839786,0.0046647685,-1.8678637,-1.6775477,0.16419545,-0.24869478,1.5494289,0.28840262,0.41112962,0.1849711,1.0155332,0.12564099,1.0165021,-0.7525027
0.5797791,-0.87472165,0.62537414,0.69166523,-0.12297307,0.33426294,-1.7594638,-1.0332011,0.35326946,-0.0009893377,1.3675439,0.3185619,-1.0371528,0.78507185,1.0470023,0.53428036,0.6332261,-0.5216598
