p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
0.08261341,1.4770042,-0.9430878,-0.74147266,-0.33421683,1.4155641,0.64013636,-0.8534907,-0.8278746,2.457718,1.4586707,-0.2084078,0.22569175
-0.37513623,1.1763486,-0.30001912,0.68759876,0.22420827,0.36676547,1.5366694,-1.3607364,-0.5536498,1.4454156,1.1341302,0.4072144,-0.21426545
0.06494514,-0.646079,2.5380175,0.23567508,-0.54210293,-0.8239084,-0.24188566,0.044316534,-0.51327777,-0.19030637,2.05753,0.5813291,-0.89804
-0.010633963,-0.6115728,1.4870281,-0.70402324,-0.36783153,-0.23745957,-0.082796186,-0.84217674,0.27095976,0.5449081,0.89485294,0.27218094,-1.5686789
0.43223482,0.02830851,2.6186466,-0.089052804,-1.137249,-0.6839958,0.3855958,-0.10409212,0.51701295,1.1715118,0.7984537,0.042185288,-1.1203651
0.44669816,-0.12961115,1.8649262,-0.8070606,-1.1950859,-0.6231616,0.19998291,-0.7125373,0.6098329,1.1204237,0.43090704,0.31334245,-1.0892735
0.5304329,-0.35412022,2.7930412,0.13478862,-1.3518975,-0.21033801,0.58911705,-0.31019363,0.49116796,1.3554789,0.03487907,0.45067883,-0.9162033
1.6258578,0.8123816,2.4779553,0.30813396,-1.1587278,-0.5295309,0.78540486,-0.4681362,0.081914306,0.94139063,1.8477529,-0.6039344,-1.7623801
0.4558342,-0.15845992,2.4556835,0.009398867,-1.5992608,-0.31147182,0.14293452,-0.41857967,0.39823437,1.5971075,0.76823574,0.11450342,-1.2273519
0.5395502,-0.43552202,2.302224,-0.089710444,0.33137757,-1.1421541,0.73012877,0.656731,-1.2803228,0.076094195,1.8299637,0.39384925,-2.165045
0.2420323,0.28914338,-0.85634536,-0.6120608,-1.7186085,-0.74682325,0.116884306,-0.731473,-0.23186094,0.7882506,1.8357986,-0.12286835,-1.4517195
-0.7862785,0.6402208,-0.33667728,0.28306457,-0.28234145,1.9886813,-0.16613302,-1.0180557,-0.6801837,1.3920299,1.0756468,0.23032437,0.9621037
-0.4686076,0.021282094,0.46343723,0.720405,-0.41685137,1.9659345,-0.3259909,-2.1120589,-0.6936186,1.1102915,0.8987863,-0.27505013,0.99288386
-1.1863668,0.8224024,0.54831445,-0.21981196,-2.126858,2.6900897,0.71515435,-0.8900278,0.2723648,1.6958818,0.92244446,-0.65222037,0.6986756
-0.6208547,1.1284736,0.8061344,-0.99459344,-0.96158475,-0.2924654,-0.036957435,-1.0870643,-0.25462487,0.2411984,0.10468102,1.2788409,-0.7586092
-0.8843808,0.1251854,0.17866318,-0.65574086,-0.9454656,-0.28114358,0.15695597,-0.7155646,-0.76535267,0.54035753,0.9424573,0.598322,0.50013113
1.2107222,0.14466469,-0.33681983,-0.3972165,-1.7773607,1.6696837,0.2803782,-1.6393348,-1.139412,0.92574185,0.5958856,0.58112746,-2.4381278
0.46304083,0.28901497,2.6421518,0.21930872,-1.1252366,-0.46320626,0.24738167,-0.8852305,0.7723616,0.25895253,0.7380371,-0.5168053,-1.2067238
0.72646904,-0.3029029,1.8000398,-0.938359,-1.4533271,0.29257914,-1.0627666,-0.5707021,0.34260395,1.1088026,1.090985,0.7562167,-0.7978069
-0.12788713,0.3900374,0.40019855,-0.40750325,-0.0832823,0.59992605,0.6150072,-0.5808874,-0.85291296,1.247693,0.60830206,0.17051503,-0.09334546
-0.018833185,1.250764,1.4721283,-1.014989,-0.7021584,-0.7175743,1.3999104,-0.50280607,-0.50529134,1.1144822,0.87335414,-0.07918935,0.55142677
2.5253155,0.020367276,1.5497887,1.1630244,-1.7603596,-0.32340142,0.38341436,-0.39102507,0.079022884,1.2531662,2.681014,-0.3492239,-0.6867401
1.5383346,-0.8587666,2.3368661,0.33823,-2.135088,-1.467378,-1.202493,-0.31958348,-0.59598386,1.60556,2.2397952,0.02545415,-0.3259615
1.8726611,0.2327849,0.7541702,0.5050216,-1.5492383,-0.34412608,0.30569088,-0.7901367,-0.09857272,1.1336735,2.4732018,0.07627605,-1.0651087
0.79872495,-1.0118414,1.6354854,-0.31178284,-2.0741332,-1.8572912,-1.3024758,-0.4581969,-0.8941447,1.786926,1.6866868,0.5818637,-0.68002343
0.16782986,0.8312865,0.53386146,-0.11493554,0.09923539,1.9534405,0.37046087,1.4497654,-1.1707462,0.5075008,1.730831,1.3261855,-1.7656771
0.43194652,0.69878566,0.38540107,0.16339402,0.11649829,1.821787,0.25337455,1.4696069,-1.1989034,0.33732677,1.8490669,1.3565112,-1.622322
0.33019766,0.5701763,0.45069554,0.25751254,0.10003872,1.6209424,0.6204966,1.3660768,-1.0385406,0.40615115,1.4624386,1.553418,-1.3188183
-0.5956222,0.06584241,-1.6648391,0.09264822,0.517215,0.9349541,-0.66620874,-1.0223445,-1.3872931,2.1485784,2.4666994,1.0155365,0.45055464
0.061742052,1.3993317,0.70795536,-0.65907145,0.23177639,0.27732262,-0.75760627,-0.9864867,0.35816303,1.5865668,0.14356782,0.764107,-0.7379143
0.80175257,0.814411,0.37113035,-0.40917394,-0.007714622,0.17240751,1.3397727,0.0074242554,-0.51420367,2.853857,-0.7509109,1.7495333,-0.56968415
0.61675334,0.8246795,0.23606417,-0.29420608,-0.011138874,0.26940536,1.4577028,0.15127242,-0.38534248,2.8897424,-0.636901,1.7586886,-0.6141095
-2.209492,0.3172636,-1.5257047,-1.304227,-0.33242646,1.3444581,-0.59646344,-1.0096619,-1.2181878,0.33880603,1.5555376,2.516099,-2.2069588
-0.01224787,1.3080635,0.26451388,-1.4454367,-1.5575912,0.69271326,3.351068,-0.19966261,0.25866136,2.9788582,-0.22808772,-0.16595429,-0.61280304
-0.5070962,-1.4058398,-0.4099794,0.08301523,-0.71678746,2.0528677,-1.0861533,-1.2881833,-1.2402468,1.9166889,-0.081760556,2.9276078,0.87701374
