p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20
-0.09293592,-0.87097144,0.17440836,0.45765293,0.31840917,0.41789153,0.87335104,0.49057406,0.03879401,-1.0142444,1.6763562,1.1164138,0.9374194,0.20014365,0.48857614,0.93521416,0.6296633,-0.8526886,-0.014440085,0.074397296,1.1933725
-0.53264415,-0.021325484,0.58991885,1.4169513,0.37324464,0.39098954,-0.16130093,0.57487077,-0.23495424,0.12974016,1.7885172,0.4172787,-0.40167907,0.10228954,1.3654355,0.4529309,-0.23729306,-0.48927093,0.476004,1.8023453,-1.5985557
0.19158486,0.2172207,-0.15761717,0.15123004,-0.0373367,-0.085791335,-0.5333922,-0.76460063,1.1143212,-1.9649174,2.3228323,-0.008999541,0.3185525,1.0443122,1.5849904,-0.73794323,-1.7368419,0.7558319,-0.0126088755,-0.3877543,0.48157516
-0.12222762,-0.5351049,-0.15893123,0.33414644,-0.12418891,0.36943576,0.41819695,-0.86169684,-1.0569277,-1.2210299,2.123437,0.23215549,-0.97342014,-1.8633623,0.9978653,0.18159379,-2.3507407,0.16947742,0.36277732,-1.2756195,0.63861877
0.38995987,-0.7809226,0.27726784,0.74140644,-0.50567746,0.12519483,0.47496277,-0.5074451,-1.2155445,-1.2516651,2.1644433,0.7716503,-0.39408302,-1.518667,1.1754142,0.8087371,-2.2366486,0.6795716,0.9124952,-0.3417574,-0.253219
-0.77375317,-0.1584554,0.11332401,-0.27863783,-0.1404317,-0.4039707,0.16183417,1.0263733,0.18222079,-0.94875133,0.48160732,0.9139015,1.1890363,0.3241454,0.16165441,0.8979881,-0.7642202,0.38560003,-0.04057465,0.038502295,-1.1807079
-0.75295794,-0.023776019,0.011576312,-0.2806806,-0.058691572,-0.35606834,0.13548642,1.0634711,0.21155556,-0.9669018,0.5466029,1.0345423,1.1177526,0.41877344,0.011346476,0.8550318,-0.65515167,0.38454285,-0.011247585,0.04122334,-1.162324
-0.15221694,1.3382629,0.19555832,0.47312194,0.40711093,1.1834481,-0.27328143,0.5737417,-0.41311795,-0.65576786,2.747323,0.45212197,0.61526716,0.60424775,1.0063747,-0.3054567,-0.31423312,1.2268848,0.13623188,-1.1663947,-0.6474598
-0.4018951,0.3759202,-0.055061035,0.24789144,0.17875873,-0.19909585,0.11295597,0.16582307,-0.20821199,-0.64304066,0.03915314,-0.055667277,0.28203103,0.12299558,0.5242111,0.05832436,-0.094675034,0.15998793,-0.13756351,-0.3320569,-0.05567227
-0.060606815,0.915037,1.6323144,0.3197783,1.5787106,-0.034949865,-0.24899143,0.12893054,0.3864597,-0.33292565,0.8117763,1.371118,0.7473496,-0.79563487,1.3178334,-0.30803388,0.14412732,0.7659305,0.83353287,0.43371886,0.27334702
-0.6269966,0.603424,1.6186535,0.042314492,2.7233381,-0.1310979,0.00081989996,0.9764066,0.7394411,-0.485168,1.694498,1.9281174,0.93000317,-0.34776905,0.5248807,-1.04087,0.8581168,0.56549853,0.5784149,1.2166706,-0.95879096
-1.5365658,0.5343297,0.8548523,0.3435798,1.838857,-0.69655454,-0.44644895,0.11424877,0.866466,-0.9269546,1.5309951,2.171605,0.61584985,0.1652728,0.33841705,-0.24639636,1.2524725,-0.09744835,0.024576241,0.91000265,-0.54941356
-0.7105486,0.85992044,0.5842716,0.3638931,1.4910817,-0.45825183,-0.3444511,0.055321313,0.1053553,-0.6900763,1.4783281,1.5033582,0.7117572,-0.10134099,0.7678678,-0.18292637,0.2037212,0.19626501,0.15564005,0.33930403,-0.42970803
-1.2960578,0.658777,-0.32119,0.039067414,-0.22200753,-0.10643808,0.7576497,0.67666054,1.2667071,-0.058290467,-0.11343189,0.8995971,0.2774886,-0.08019972,1.4967635,0.2755263,-0.13072103,-0.4364404,0.38351628,0.08266783,0.4284427
-0.75518715,0.4635847,-0.41973257,-0.5806722,0.1808449,0.21200864,0.7700555,0.6309213,-0.14296791,-0.8852,1.0464694,0.41342923,0.14269467,-0.00897353,0.5294557,0.14547217,-0.4581925,0.97073174,-1.003496,1.2555617,-1.0525736
-0.9798146,0.0763377,-0.674488,-0.6255079,-0.087848,0.24986243,0.190497,0.61625946,0.023569798,-0.8187249,0.7403471,0.43232828,0.11207279,0.21846464,0.43016276,0.020620216,-0.4485138,0.70483506,-0.94250107,1.0005791,-1.056832
-0.8221466,0.28993854,-0.7937795,-0.6881167,0.019124951,0.38880506,0.3940885,0.5546711,0.17277542,-0.89259404,0.9145769,0.5989595,0.16272323,0.034648035,0.22774184,-0.05543114,-0.589788,0.52707446,-0.9500325,0.9676688,-0.76275074
-0.69429576,0.41677132,-0.64812475,-0.53926796,0.04214654,0.4955607,0.37702686,0.5556946,-0.02492504,-0.84641427,0.79704756,0.5411596,0.1955086,-0.1723566,0.34806684,-0.04995833,-0.32523263,0.35747778,-0.8500976,0.7776058,-0.94738793
