p_0,p_1,p_2,p_3
0.6608982,2.7174478,2.047617,-0.5855843
-0.11573423,0.5441425,2.3427553,-0.6529624
-1.728561,0.53322065,1.8912314,-0.70193624
-1.7067502,0.6000365,1.8594983,-0.5905107
-3.230598,-1.3423889,1.1182293,1.2607166
-2.9477956,-1.9702641,1.0629336,1.6329658
-4.891048,-1.6915125,1.6809845,2.6155725
-2.019062,-0.8672805,0.73884904,0.9670844
-1.5114017,-2.5037925,0.96103466,1.2484909
-0.48290995,-2.3077521,1.1425023,1.4274929
-0.3749289,-2.5572746,1.2619293,1.1196631
-3.7097733,-1.2882642,1.5129393,0.58304596
-1.913486,-0.38707694,0.45390528,1.3292676
-1.9170749,-0.30036938,0.5679959,1.399061
-1.0936078,-0.8668778,0.49271515,0.9486707
-2.1256363,-0.40659726,0.90156615,1.8945938
-2.503709,-0.9092588,0.7976942,1.0783621
-1.6391554,-1.0219039,0.3145974,0.5620719
