p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
-0.5294767,-0.5971431,1.4261845,0.17144722,1.152635,0.48543447,0.40684605,1.7964383,0.34796858
-0.9490614,0.3463326,1.0010688,-1.3129319,0.447626,-0.43316248,-0.22891602,0.09387396,-1.0929475
-1.1677676,1.7107576,1.7220039,1.6048169,3.0121992,-0.121873654,-0.30352494,-0.05361617,1.6708431
-1.7542915,-1.3278034,2.3346593,-0.6700194,0.23640291,-0.2511742,0.45189804,-1.2070308,1.0804036
-0.8433621,-1.1224687,1.8083302,-1.2740268,1.3508176,1.0998179,0.401022,0.15324333,1.692258
-0.58274186,0.3314171,1.4310232,-0.15243894,0.46942565,0.45301652,-0.240594,0.19233304,-0.51576674
-1.2331238,0.87314504,1.9376695,-1.7546101,-0.82692367,0.99037826,0.024423387,0.3657585,0.17433885
-2.0260026,-1.3742691,2.4030867,-0.32410726,0.83804095,0.45216984,-2.6795232,-0.23613025,1.7990727
-0.5009759,-3.1401477,3.1118374,0.5992396,0.839437,0.7375027,-1.4321071,0.5059248,0.8196783
-2.1109042,-0.371267,2.7457657,-0.589489,1.250677,-0.2596874,-2.3119004,0.013199308,2.2563984
-0.29996973,-2.5874603,3.2868745,0.69488305,1.2244647,0.47821432,-0.8934632,0.7005228,0.7827356
-1.6483728,1.0524293,1.1044445,-0.20990086,-0.21445873,1.1832448,-2.6788404,0.10792461,-1.3515161
-1.5249906,0.8567375,1.0623773,-0.17695774,-0.26653373,1.3462266,-2.9450774,0.17359711,-1.0917026
-1.2768002,0.58706695,1.0371758,-0.15118589,-0.10618712,1.0960318,-2.6698565,0.3158679,-0.89954764
0.0011371945,3.0342577,0.8964344,0.32396704,2.1018765,0.90773654,-1.6622062,0.068924494,-1.4747607
-0.90895617,0.41619286,1.3264076,-0.35832137,0.07635855,1.1941237,-0.31930262,1.9789016,-0.30592832
-2.2917776,0.5958567,0.4874311,-0.16542976,1.2127082,1.1207052,-1.5535051,1.9317107,-0.10525661
-2.3054903,0.48211583,0.49311873,-0.20598163,1.0817363,1.199274,-1.6175196,1.8626912,-0.23508932
0.06876488,1.0059501,2.6194727,-2.589441,2.501249,-1.8119116,0.5181849,2.8432617,-1.4136089
-3.7389371,0.24262214,0.41883144,1.4612634,0.735835,2.293548,-0.59277767,0.6260683,-0.20810585
-1.9711758,1.9135535,1.131291,-2.0195267,1.273904,-1.371873,-0.5362772,1.3710178,-0.9475507
-1.166958,-2.1705725,1.6402957,-0.7346236,1.2528485,1.2793514,1.063585,2.5571163,-0.6582416
-1.2839595,1.2578521,0.79394746,0.08816659,0.23802796,2.043822,-1.0253466,1.1145377,-0.17989932
-2.2834938,0.4872893,2.0171194,1.5138425,-0.67284167,0.6080058,-1.7472225,1.1546897,0.049495697
-2.6775556,1.0737323,1.0360502,2.0152283,1.7387674,0.7182118,-1.7854866,0.18012604,0.67119634
-2.997452,1.1392963,1.3673947,2.0824401,1.8116956,0.50957084,-0.35711658,0.40428385,0.363083
-2.3880084,-0.56242657,0.5911432,1.9743787,2.3245964,1.2271944,-0.69688827,0.8456249,-0.18017864
-0.95561737,0.6242687,1.6175991,0.7310959,1.2613617,0.73341334,-0.39928856,0.48824057,1.4782308
0.10950353,0.14356789,1.572161,0.77296686,0.94647235,0.70697457,-2.0717857,1.695059,1.6732793
0.8915796,-1.6672119,2.317675,-1.4951203,-0.03315539,2.2007885,1.0995063,-0.77531594,-1.9811224
0.85055095,-1.5101275,2.3036182,-1.6808724,0.01768988,2.238172,1.3745936,-1.0844121,-2.0406828
1.3959607,-0.59257513,2.1526577,-2.997154,1.1983156,1.6772177,0.5268699,-1.2024742,-1.4925444
-0.27625084,-1.8484293,2.8545883,-1.136807,-0.88666344,2.4342556,0.65410477,0.3284249,-1.3357038
-0.2656517,-1.7460935,2.8232408,-1.3658086,-0.7095723,2.534635,0.98955923,0.25131452,-1.2983015
-0.2946611,-0.78801364,3.1105716,-2.8602288,0.17879248,1.3727812,0.9665106,0.2122259,-0.8175408
-2.5424736,-1.4186965,1.8483417,-0.4976346,0.20189883,-0.28122172,0.64725614,-0.8973881,-0.035515863
-0.43396097,3.9027514,0.6034213,1.0430261,1.9298997,2.15418,0.53583264,-1.830553,1.0125718
-0.9940137,2.6260757,0.8291774,0.93687856,1.3201886,1.1638746,-1.5511504,-0.4460085,0.660484
-1.080514,2.622941,0.9154103,0.8500797,1.6923828,0.95911914,-1.5780466,-0.48483473,0.59443325
-1.9085422,-1.2723517,1.92268,-0.96868277,1.4844942,-1.6534262,-0.76022565,0.28951752,-1.5315788
0.019358946,-0.36030287,2.4896173,0.054825775,-0.93752754,1.1180669,-0.21463612,-0.2439596,-0.8698229
-1.5953716,-0.6873186,1.5195488,0.4195968,0.1679418,0.62060714,-0.076520436,-0.45787656,-0.9299552
-1.1670858,-0.23045535,1.5827043,0.41214722,0.11761883,1.5388047,0.22261493,0.3485806,0.12641707
-0.22972263,-0.69767755,2.7261355,-0.28580835,-1.0346262,2.566163,-0.025467062,-0.015172171,-1.6819047
-1.6180046,-0.58347994,2.234916,0.68564504,-0.2865875,2.2012513,0.13296407,0.3052042,0.24333954
0.0017413412,-0.45066455,3.1236641,-0.63875866,-1.9461976,1.1994853,-0.50256604,-0.687266,1.099278
-0.6238825,-1.1768205,0.71218973,-0.47602576,1.44615,1.5448995,0.6294543,0.5950291,0.38340217
-2.5397522,-0.8530857,0.6209206,-0.65807676,1.3017253,1.3911399,0.15959316,-0.08231948,-1.6756245
-2.603445,-1.0182205,0.5803076,-0.5189533,1.1930087,1.3418171,0.012798038,-0.38559386,-1.6942971
-1.838628,-0.019084241,0.607125,-0.22613682,1.1543863,0.8340266,-0.038905777,-0.9957892,-1.105516
-1.9011346,0.12936413,0.54872286,-0.28601882,1.105255,0.75552905,0.1027209,-0.91536266,-1.1476836
